Timestamp,Heart Rate,RR Interval
1740144393.483648,141,0.444
1740144395.463233,140,0.44
1740144395.4632618,140,0.444
1740144395.463885,139,0.448
1740144395.4638898,139,0.444
1740144396.454484,139,0.444
1740144396.4545221,139,0.452
1740144397.4434829,138,0.444
1740144397.443517,138,0.444
1740144397.4435232,138,0.452
1740144398.431977,138,0.44
1740144398.432002,138,0.448
1740144399.4229681,138,0.448
1740144399.423008,138,0.439
1740144400.4143739,138,0.448
1740144400.414403,138,0.448
1740144400.414407,138,0.444
1740144401.401951,138,0.448
1740144401.4019892,138,0.452
1740144402.395873,138,0.444
1740144402.395901,138,0.452
1740144403.382369,137,0.452
1740144403.3823879,137,0.448
1740144404.373065,137,0.456
1740144404.373099,137,0.452
1740144404.3731048,137,0.444
1740144405.362953,136,0.456
1740144405.3629818,136,0.444
1740144406.3538182,137,0.448
1740144406.353843,137,0.452
1740144407.342771,137,0.448
1740144407.342807,137,0.452
1740144407.342815,137,0.452
1740144408.3341591,137,0.448
1740144408.334193,137,0.452
1740144409.322262,137,0.444
1740144409.322295,137,0.448
1740144410.310706,137,0.448
1740144410.310715,137,0.44
1740144411.3028271,137,0.444
1740144411.302867,137,0.452
1740144411.3028748,137,0.444
1740144412.295778,138,0.444
1740144412.295816,138,0.452
1740144413.2820978,138,0.444
1740144413.2821178,138,0.448
1740144414.2753558,137,0.456
1740144414.275532,137,0.444
1740144414.275537,137,0.448
1740144415.262939,137,0.452
1740144415.262969,137,0.448
1740144416.2522938,137,0.456
1740144416.252327,137,0.444
1740144417.242839,137,0.456
1740144417.2428749,137,0.444
1740144418.2339141,137,0.456
1740144418.233943,137,0.444
1740144418.2339468,137,0.444
1740144419.223244,137,0.451
1740144419.223274,137,0.448
1740144420.2118652,137,0.448
1740144420.211892,137,0.452
1740144421.204233,137,0.452
1740144421.2042701,137,0.452
1740144421.204278,137,0.452
1740144422.192529,136,0.448
1740144422.192554,136,0.452
1740144423.183892,136,0.452
1740144423.183923,136,0.448
1740144424.172823,136,0.452
1740144424.1728551,136,0.452
1740144425.161046,136,0.448
1740144425.16106,136,0.452
1740144425.161063,136,0.452
1740144426.163935,136,0.444
1740144426.1639612,136,0.456
1740144427.14288,136,0.448
1740144427.142911,136,0.444
1740144428.132799,137,0.444
1740144428.1328251,137,0.444
1740144428.13283,137,0.444
1740144429.123109,138,0.436
1740144429.123135,138,0.452
1740144430.11281,138,0.432
1740144430.1128461,138,0.452
1740144431.1024199,138,0.448
1740144431.102454,138,0.448
1740144432.093164,137,0.444
1740144432.093208,137,0.444
1740144432.0932128,137,0.452
1740144433.0822961,137,0.444
1740144433.082321,137,0.456
1740144434.07299,137,0.46
1740144434.073023,137,0.452
1740144435.061205,136,0.46
1740144435.061217,136,0.464
1740144436.052018,134,0.468
1740144436.052038,134,0.464
1740144436.052044,134,0.464
1740144437.04252,133,0.468
1740144437.0425549,133,0.456
1740144438.034401,133,0.468
1740144438.034436,133,0.464
1740144439.022045,132,0.467
1740144439.0220768,132,0.46
1740144440.011637,132,0.468
1740144440.011644,132,0.46
1740144441.00294,132,0.468
1740144441.002971,132,0.464
1740144441.002976,132,0.468
1740144441.993139,132,0.468
1740144441.993171,132,0.464
1740144442.982989,132,0.472
1740144442.9830232,132,0.46
1740144443.9727519,132,0.468
1740144443.972784,132,0.468
1740144444.9621918,132,0.464
1740144444.962225,132,0.468
1740144445.952687,132,0.468
1740144445.9527209,132,0.468
1740144445.9527261,132,0.48
1740144446.9425159,131,0.472
1740144446.942537,131,0.48
1740144447.9336882,130,0.488
1740144447.933728,130,0.488
1740144448.922108,129,0.492
1740144448.9221382,129,0.496
